Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP2723007W,Injury Crash,,STRAIGHT MOVEMENT ANGLE,,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,B4BD473C-6B05-467C-A36C-DE0AF004FEA1,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,DISABLING,FOUR OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35.0,No,2018.0,ACURA,MDX,39.07809167,-77.07184667,16:50:00,Thursday,2023-09-28
DD559500F7,Injury Crash,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,E4B53B94-D190-456B-AD80-524F6E8D34BD,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,40.0,No,2023.0,TOYOTA,4D,39.0904635,-77.12828783,08:50:00,Tuesday,2023-11-07
MCP2536004V,Property Damage Crash,,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,7B729967-3E00-4F38-87E9-72DBF0D36515,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,ONE OCLOCK,PASSENGER CAR,ACCELERATING,North,30.0,No,2012.0,HYUNDA,SONATA,39.06375,-77.065585,05:20:00,Wednesday,2023-11-01
MCP3377000V,Injury Crash,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,,,33CE0321-C617-4F30-9540-62E06724E907,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,35.0,No,2008.0,TOYT,4S,39.0055565,-77.09783183,05:15:00,Thursday,2023-11-30
MCP3180003Q,Property Damage Crash,,OTHER,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,F11DCA4D-3427-4400-AAC1-0F0F8EA09D07,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,45.0,No,2008.0,HYUN,SD,39.08911333,-76.99973167,16:53:00,Thursday,2023-09-07
EJ78880052,Injury Crash,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,5BC35FA9-B0B5-4166-90E4-C369DBD26C3E,Yes,SUSPECTED SERIOUS INJURY,,LOOKED BUT DID NOT SEE,MD,DISABLING,TWELVE OCLOCK,MOTORCYCLE,ACCELERATING,South,35.0,No,2007.0,SUZUKI,GSX-R600,39.14586487,-77.21431225,15:15:00,Tuesday,2023-10-03
MCP2269002P,Property Damage Crash,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,318DF75E-7E6D-4E03-BCEF-1F2F713BAFA5,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,NINE OCLOCK,SCHOOL BUS,MOVING CONSTANT SPEED,West,45.0,No,2013.0,THOMAS,BUS,39.12906826,-77.16732525,09:08:00,Thursday,2023-11-16
MCP27830053,Property Damage Crash,,ANGLE MEETS LEFT TURN,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,,,C6ED2E76-6121-4A1A-A8D7-4D17C7465D44,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,45.0,No,2017.0,NISS,SD,39.10606833,-77.00161833,19:12:00,Tuesday,2023-11-21
MCP3129007P,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,EDE6CD0F-D0DA-449D-B901-CDF79C45E169,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,45.0,No,2014.0,TOYT,4S,39.05972717,-77.08867183,13:12:00,Saturday,2023-09-02
EJ7898000W,Property Damage Crash,,SAME DIR REAR END,CLEAR,,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,FCFDD08F-2CFC-4CC0-B602-E04BD2B7125C,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,25.0,No,2018.0,TOYOTA,TK,39.15401783,-77.20886188,13:51:00,Friday,2023-08-25
MCP2102004G,Injury Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,C0DDFF7A-09DD-4105-BAF0-29775484A4A7,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,40.0,No,2013.0,HOND,CIVIC 4S,39.17330833,-77.27486667,14:48:00,Saturday,2023-11-11
MCP33740013,Injury Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,7D5B4DD2-2B31-4F73-8023-6D7503671C44,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,NINE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,Unknown,10.0,No,2009.0,ACURA,SD,39.05302447,-77.10431221,14:55:00,Friday,2023-08-04
MCP2686006S,Property Damage Crash,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,4800F785-7070-44A1-BDE2-81B9660E9388,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,NO DAMAGE,TEN OCLOCK,SCHOOL BUS,SLOWING OR STOPPING,East,35.0,No,2015.0,THOM,BU,39.22554117,-77.2755655,15:04:00,Thursday,2023-12-14
MCP33500027,Property Damage Crash,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,D75183E1-6D1F-4B22-9C1A-FAFB363E521D,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35.0,No,2002.0,TOYOTA,CAMRY,39.040795,-77.10985333,14:45:00,Tuesday,2023-12-05
MCP2950002Q,Property Damage Crash,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,D36BEF8F-8514-46DE-9885-F548C7E9BF0F,Yes,NO APPARENT INJURY,,UNKNOWN,,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40.0,No,2005.0,SCION,TC,39.16771617,-77.22993083,01:59:00,Saturday,2023-10-14
MCP120500B2,Property Damage Crash,,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,734B3ACB-F547-4DE2-A91D-C356B0505761,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SEVEN OCLOCK,TRANSIT BUS,MAKING LEFT TURN,South,25.0,No,2016.0,GILL,BUS,38.98318667,-77.09574833,08:52:00,Thursday,2023-11-16
MCP219800DT,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,STOP SIGN,,,59BF5B6D-9232-4392-BD96-5D581ACDBF02,Yes,NO APPARENT INJURY,,UNKNOWN,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,South,30.0,No,2014.0,HONDA,MINIVAN,39.14184,-77.224555,16:00:00,Wednesday,2023-10-18
MCP3145004B,Property Damage Crash,,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,EFAD2279-F124-4EB7-8421-262A082B970D,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,CHANGING LANES,West,35.0,No,2023.0,TOYT,SD,39.020175,-77.01200167,18:45:00,Friday,2023-11-17
MCP3026000G,Property Damage Crash,,SAME DIR REAR END,UNKNOWN,UNKNOWN,DAYLIGHT,NO CONTROLS,UNKNOWN,,6DC843D9-B91D-46AD-BA71-8E87D74F29BF,Yes,NO APPARENT INJURY,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,West,25.0,No,0.0,UNKNOWN,UNKNOWN,39.00736281,-77.12026834,09:00:00,Friday,2017-02-24
MCP3060004G,Property Damage Crash,,HEAD ON LEFT TURN,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,EAD6312B-5294-4651-84D8-A437C5516F9B,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35.0,No,2012.0,MERZ,4S,39.02332667,-77.16237667,00:01:00,Sunday,2023-09-24
MCP23540021,Property Damage Crash,,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,6AC40C2F-07B5-4437-A078-D57E634B3967,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35.0,No,2014.0,TOYOTA,CAMRY,38.99181,-77.09802167,22:14:00,Sunday,2023-12-17
DD56440039,Property Damage Crash,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,B4F62FD4-A410-4267-95C8-19EC7B433EB2,Yes,NO APPARENT INJURY,,NOT DISTRACTED,GA,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35.0,No,2020.0,KIA,SOUL,39.09158717,-77.17857567,23:00:00,Thursday,2023-06-08
MCP3347001K,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,210E2598-DCBD-47A4-A2D5-B9ECA5FC7003,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,25.0,No,2013.0,TOYOTA,CAMRY,38.98554882,-77.0882731,08:47:00,Friday,2023-12-15
MCP2940006Q,Property Damage Crash,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK NO LIGHTS,,NONE DETECTED,,99B4FB09-B5E7-430D-B0BC-96FC7D8509BA,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,EIGHT OCLOCK,SCHOOL BUS,MOVING CONSTANT SPEED,South,55.0,No,2024.0,THOMAS,BUS,39.03777422,-77.14563271,06:30:00,Friday,2023-10-20
MCP913000GS,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,EF6F564F-116E-44BC-B3DB-04514FA71E32,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,DISABLING,TEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,35.0,No,2013.0,NISSAN,ALTIMA,39.02395638,-77.01117117,08:30:00,Tuesday,2023-09-19
MCP24450054,Property Damage Crash,,SINGLE VEHICLE,RAINING,,DAWN,NO CONTROLS,NONE DETECTED,,BF5692BB-6F84-4880-B2FE-2E1268AF8B98,Yes,NO APPARENT INJURY,"N/A, RAIN, SNOW",UNKNOWN,MD,SUPERFICIAL,NINE OCLOCK,FIRE VEHICLE/EMERGENCY,NEGOTIATING A CURVE,East,0.0,No,2022.0,PIERCE,PIERCE,39.16906617,-77.234099,07:00:00,Sunday,2023-09-24
EJ7898000L,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,6329A40E-BE6F-4168-A51C-6D1B3F358623,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35.0,No,2008.0,CHEV,TK,39.15437715,-77.20926953,21:38:00,Thursday,2023-07-20
MCP3313001R,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,5E0A51FD-BF32-4A79-A154-7B89CD638D02,Yes,NO APPARENT INJURY,,UNKNOWN,,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,25.0,No,2008.0,HONDA,ACCORD,39.08537667,-77.08680833,04:10:00,Monday,2023-11-06
MCP1563008X,Property Damage Crash,,OTHER,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,0B5EBBAE-B9A9-45B5-82F6-C27738DA9F6D,Yes,NO APPARENT INJURY,,UNKNOWN,MD,UNKNOWN,TWO OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,25.0,No,2023.0,CHEVROLET,SUV,38.98193833,-77.08863667,17:30:00,Friday,2023-10-20
MCP12200033,Property Damage Crash,,OTHER,CLEAR,,DAYLIGHT,,NONE DETECTED,,C1413BB7-71C9-49CB-8DB3-2C516C4E4632,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SEVEN OCLOCK,PASSENGER CAR,PARKED,,0.0,Yes,2015.0,TOYOTA,PRIUS,38.99277988,-77.02375174,14:16:00,Monday,2015-11-16
EJ78840068,Property Damage Crash,,OTHER,CLEAR,,DARK LIGHTS ON,,,,35CC7FB7-B57E-49AB-AA71-A58E81723407,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,PARKED,,10.0,Yes,2019.0,TOYOTA,COROLLA,39.15550095,-77.2090728,22:24:00,Saturday,2023-11-11
MCP28980046,Injury Crash,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,54BA7FAC-67BC-43B4-B247-F7D0912145D5,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,SUPERFICIAL,ONE OCLOCK,SNOWMOBILE,MAKING RIGHT TURN,East,30.0,No,2017.0,HYUN,UT,39.19080667,-77.24775667,18:23:00,Wednesday,2023-10-04
MCP2187001M,Property Damage Crash,,SAME DIR REND RIGHT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,55420586-B84F-4037-8B21-5AF2C837C66D,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,NO DAMAGE,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,25.0,No,2009.0,CHEVY,IMPALA,39.10490167,-77.19642833,14:15:00,Tuesday,2023-09-26
EJ78980016,Injury Crash,,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,32F781FE-E5CD-4A58-9014-6BE14212FC13,No,SUSPECTED MINOR INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35.0,No,2023.0,TOYT,PK,39.14149912,-77.21764047,06:00:00,Tuesday,2023-09-26
MCP31450047,Property Damage Crash,,SAME DIRECTION RIGHT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,42636462-572C-4CAE-8890-82A8AC4754E2,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,FUNCTIONAL,NINE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,North,35.0,No,2019.0,TOYT,SD,39.02044167,-76.97663,15:30:00,Friday,2023-10-20
MCP3010008P,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,45D0D3E2-126B-4D2E-8A4D-6AE772606C9C,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,NINE OCLOCK,PASSENGER CAR,STARTING FROM LANE,West,30.0,No,2008.0,FORD,UT,39.02708167,-77.12622667,12:56:00,Tuesday,2023-09-19
MCP9365001V,Injury Crash,BICYCLIST,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,NONE DETECTED,6593C76A-AF80-4C4A-A44B-6AE3837159C0,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,50.0,No,2008.0,HONDA,CIVIC,39.10888866,-76.92287007,12:39:00,Saturday,2023-06-24
MCP243600DY,Injury Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,DB07C30C-B2B8-4D89-9F02-E483B98CC0D7,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,35.0,No,2014.0,FORD,FUSION,39.0159801,-77.0054239,09:10:00,Sunday,2021-11-07
MCP2450004S,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,81B40AF8-3A12-4345-B474-151313167164,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,40.0,No,2010.0,HONDA,CIVIC,39.13998167,-77.22168833,18:00:00,Thursday,2023-11-16
MCP31610060,Injury Crash,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,23C11A97-263C-4968-BD3C-7F96241740E5,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35.0,No,2023.0,ACUR,HB,39.04742767,-77.0756865,16:19:00,Thursday,2023-12-07
MCP2633003C,Property Damage Crash,,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,DDAE9AC5-F02C-4992-9F73-421F41742D5A,Yes,NO APPARENT INJURY,,UNKNOWN,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING U TURN,South,35.0,No,2016.0,TOYT,4S,39.04899167,-77.116445,20:29:00,Friday,2023-09-22
MCP3301001T,Injury Crash,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,,D45E066D-A781-45AE-93D1-D6681A1FD646,Yes,POSSIBLE INJURY,,UNKNOWN,MD,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,45.0,No,2001.0,LEXS,RX 300/LTD,39.0203559,-76.97659848,01:02:00,Monday,2023-08-07
MCP33190025,Property Damage Crash,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,,,,7B780002-3F97-46AE-AF73-2CB7D2DCB8F0,Unknown,NO APPARENT INJURY,,NOT DISTRACTED,WV,NO DAMAGE,EIGHT OCLOCK,TRANSIT BUS,CHANGING LANES,North,30.0,No,2013.0,TBU,BUS,38.99721,-77.02955833,11:27:00,Thursday,2023-11-02
MCP3010008P,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,4DFD479B-FEA4-4D69-810D-56CD102B127A,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30.0,No,2015.0,CHEV,VN,39.02708167,-77.12622667,12:56:00,Tuesday,2023-09-19
MCP295400DT,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,7071F1AC-CEA1-42CB-A268-A5561CDB61C1,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,FOUR OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35.0,No,2014.0,NISSAN,ROGUE,39.02262533,-76.976267,17:59:00,Friday,2023-12-29
MCP3269002S,Property Damage Crash,,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,6B7CBDB5-A0E8-4001-B50D-22FE4EC78B1D,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35.0,No,2009.0,NISSAN,PATHFINDER,39.01734932,-76.97724385,01:48:00,Wednesday,2023-11-22
MCP2641003R,Property Damage Crash,,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,,NONE DETECTED,,315608CA-2CF9-4B36-82FD-E7BECDBB86CB,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,SKIDDING,North,25.0,No,2007.0,BMW,530I,39.08895,-77.04725833,17:15:00,Wednesday,2023-12-27
MCP3325002G,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,6EDFBD35-A1E7-4A0F-8EFA-2305CCA3FB2A,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,55.0,No,2013.0,TOYOTA,CAMRY,39.08175467,-76.94982433,17:32:00,Saturday,2023-11-18
MCP2965007G,Injury Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,9972DD90-54AD-43F5-9274-A4FD2045D79D,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PICKUP TRUCK,STOPPED IN TRAFFIC LANE,North,40.0,No,2016.0,RAM,PK,39.09543,-77.04444,13:15:00,Saturday,2023-08-26
MCP2881005S,Property Damage Crash,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,96F3704D-242F-4E00-9CC8-4B45E50FEE33,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,40.0,No,2012.0,VOLKS,PASSAT,39.184625,-77.23248833,12:33:00,Friday,2023-09-01
MCP3348001W,Property Damage Crash,,SAME DIRECTION SIDESWIPE,,DRY,DAYLIGHT,,NONE DETECTED,,5A622225-8375-455B-9A40-7CAF994CB9F0,Unknown,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,FIVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35.0,No,1999.0,LAND ROVER,LE,39.07016056,-77.06304895,14:05:00,Tuesday,2023-12-19
MCP3079005D,Property Damage Crash,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,0076FF40-837D-4CF6-825B-ED5565BCB847,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,STARTING FROM LANE,South,45.0,No,2012.0,TOYOTA,CAMRY,39.1864575,-77.25337467,12:57:00,Wednesday,2023-08-30
HA25330003,Property Damage Crash,,SINGLE VEHICLE,CLEAR,,DARK LIGHTS ON,,,,FBBDA834-C3E2-4439-BC2B-BF3FD3762881,No,NO APPARENT INJURY,,UNKNOWN,,DISABLING,TWELVE OCLOCK,PASSENGER CAR,,Unknown,0.0,No,2012.0,HYUNDAI,ELANTRA,39.05244165,-77.04406291,02:32:00,Monday,2023-09-04
MCP2612005F,Injury Crash,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,ALCOHOL PRESENT,,19B96F21-84AB-4EA6-9D8E-45B399662216,Yes,NO APPARENT INJURY,,UNKNOWN,MD,NO DAMAGE,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,40.0,No,2017.0,INFINITI,Q6,39.06965833,-77.10577283,21:02:00,Friday,2023-08-18
MCP2937002N,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,NONE DETECTED,,4D702F29-FCFF-420B-AA5C-47035BA6E014,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,25.0,No,2018.0,NISSAN,ALTIMA,39.08265667,-76.94791333,22:30:00,Tuesday,2018-08-28
MCP30090072,Property Damage Crash,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,C0B57483-CA4F-46FC-B649-55893E7FF083,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,DISABLING,TWELVE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,East,20.0,No,1991.0,CHEVROLET,S10,39.19057197,-77.22502855,08:09:00,Friday,2023-11-24
MCP28130062,Property Damage Crash,,ANGLE MEETS LEFT TURN,RAINING,WET,DARK LIGHTS ON,,,,374A710B-8D9B-4B83-8B40-E9638A60229C,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,0.0,No,2002.0,MITS,ENDEAVOR,39.06253,-77.04192,18:30:00,Friday,2018-12-14
MCP3353001X,Property Damage Crash,,,CLEAR,,DAYLIGHT,,NONE DETECTED,,08628259-78A0-4F2B-A77B-03187133635B,Yes,NO APPARENT INJURY,,OTHER DISTRACTION,FL,DISABLING,SIX OCLOCK,PASSENGER CAR,ACCELERATING,East,20.0,No,2018.0,HONDA,FIT,39.10616433,-77.06418717,16:21:00,Sunday,2023-11-19
MCP3337001V,Injury Crash,,ANGLE MEETS RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,2EC6E2E1-ABB1-46EC-91C8-23481EA69432,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35.0,No,2008.0,TOYOTA,RAV4,39.0357315,-77.02621083,12:14:00,Wednesday,2023-09-20
MCP3362001G,Injury Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,EF790346-F741-4A77-BD29-DE1078A9F801,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,DISABLING,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,35.0,No,2009.0,TOYOTA,CAMRY,39.00754667,-77.02049667,12:20:00,Tuesday,2023-07-25
